S. No. 	Name of State / UT 	Total Confirmed cases (Indian National) 	Total Confirmed cases ( Foreign National ) 	Cured 	Death
1 	Delhi 	6 	0 	0 	0
2 	Haryana 	0 	14 	0 	0
3 	Kerala 	17 	0 	3 	0
4 	Rajasthan 	1 	2 	0 	0
5 	Telengana 	1 	0 	0 	0
6 	Uttar Pradesh 	10 	1 	0 	0
7 	Union Territory of Ladakh 	3 	0 	0 	0
8 	Tamil Nadu 	1 	0 	0 	0
9 	Union Territory of Jammu and Kashmir 	1 	0 	0 	0
10 	Punjab 	1 	0 	0 	0
11 	Karnataka 	5 	0 	0 	1
12 	Maharashtra 	11 	0 	0 	0
13 	Andhra Pradesh 	1 	0 	0 	0
Total number of confirmed cases in India 	58 	17 	3 	1
