"",S. No.,State/UT,Beneficiaries vaccinated,,
"",,,1st Dose,2nd Dose,Total Doses
"",1,A & N Islands,"92,417","10,581",
"",2,Andhra Pradesh,"49,88,520","13,65,533",6
"",3,Arunachal Pradesh,"1,82,172","52,555",
"",4,Assam,"18,48,344","5,02,816",2
"",5,Bihar,"58,22,440","10,48,471",6
"",6,Chandigarh,"1,55,687","46,218",
"",7,Chhattisgarh,"48,23,964","6,83,619",5
"",8,Dadra & Nagar Haveli,"39,016","8,263",
"",9,Daman & Diu,"39,664","7,205",
"",10,Delhi,"25,58,207","6,66,732",3
"",11,Goa,"2,69,799","70,944",
"",12,Gujarat,"98,74,554","23,78,124","1,2"
"",13,Haryana,"31,77,616","5,45,954",3
"",14,Himachal Pradesh,"15,05,390","2,37,777",1
"",15,Jammu & Kashmir,"19,47,275","3,64,162",2
"",16,Jharkhand,"26,19,359","4,63,774",3
"",17,Karnataka,"79,40,789","14,59,600",9
"",18,Kerala,"60,06,406","12,22,823",7
"",19,Ladakh,"74,391","33,014",
"",20,Lakshadweep,"18,576","4,074",
"",21,Madhya Pradesh,"70,22,410","10,54,584",8
"",22,Maharashtra,"1,33,60,594","25,10,559","1,5"
"",23,Manipur,"1,68,275","60,069",
"",24,Meghalaya,"2,16,713","58,387",
"",25,Mizoram,"2,06,116","44,330",
"",26,Nagaland,"1,55,612","39,817",
"",27,Odisha,"48,89,676","8,89,346",5
"",28,Puducherry,"1,67,670","26,214",
"",29,Punjab,"28,96,977","3,97,024",3
"",30,Rajasthan,"1,07,45,782","21,91,129","1,2"
"",31,Sikkim,"1,59,827","40,759",
"",32,Tamil Nadu,"45,90,062","12,55,826",5
"",33,Telangana,"40,10,945","6,02,246",4
"",34,Tripura,"8,82,553","3,08,069",1
"",35,Uttar Pradesh,"1,01,26,798","22,28,757","1,2"
"",36,Uttarakhand,"16,37,791","3,95,796",2
"",37,West Bengal,"85,96,500","21,85,636","1,0"
"",38,Miscellaneous,"16,68,042","12,97,463",2
